ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
,,,"16","
 In the Navigation menu, click on a Recon Node
 ","The map navigates you to that node (you may have to move the Navigation menu to see it)",,,
,,,"17","Navigation menu update and search
 On both VMs with the Navigation menu open:
 Use the Navigation menu to locate the DCS node:
 Expand the DCS node down to several sub level nodes ","The Navigation menu updates on the fly to include all the DCS sub nodes and associated items currently visible in the map
The expanded list is the same on both VMs",,,
,,,"18","In the Navigation menu click on one of the sub nodes now visible under the DCS ","You are navigated in the map to that node and it is highlighted in blue - see  screenshot example",,,
,,,"19","In the Navigation menu use search field at the top of the popup to enter a single word to filter on one or more items in the list and click the refresh icon button below the search field

","The Navigation list returns the results of that search and the button icon has changed to a filter
NOTE ! See Summary for why this doesnt always work!",,,
,,,"20","In the Navigation menu scroll to the top
 Click the filter icon button below search to clear the filter. Enter two search words represented in the Navigation list   and select the word OR and click the Refresh icon button","The Navigation list returns the results of the OR filter",,,
,,,"21","Click the filter icon button below search to clear the filter. Enter two search words represented in the Navigation list, select the word AND and click the Refresh icon button
","The Navigation list returns the results of the AND filter
",,,
,,,"22","Map Display Filter options and Hide and Unhide
Minimize the Navigation menu and zoom out
 Right click on any Node (get a screenshot or note its name)  and in the dial popup click Hide/Show","The node is hidden",,,
,,,"23","Click the Filter icon and in Map Display Filter enable Hidden NodesClose the Map Display Filter popup","The Node is displayed again, with a blue border but it is grayed out to indicate it is still hidden",,,
,,,"24","Right click in the hidden node again and in the dial popup click Hide/Show ","The node is displayed again in normal coloration",,,
,,,"25","Test Favorites
Ensure the Perspective that you saved is selected
 Zoom in enough on one or 2 nodes to see the Perspective Editor info.
Take a screenshot
Click the save button next to Favorites field","There is a popup to enter a Favorites name",,,
,,,"26","Enter a name for the Favorite","The Favorites drop down includes your addition",,,
,,,"27","Refresh the web page and  return to topology

","The map is displayed expanded but neither the perspective nor Favorite is selected , the map is zoomed out",,,
,,,"28"," In Favorites drop down select your favorite
","The view changes to display just the location and zoom level and perspective information that matches your screenshot from previous step
",,,
,,,"29","Make another change to your favorite and click Save button. Click OK to the popup to orverride
Change to a sub location and then return to the same location you were in when you saved the favorite
Select the favorite again","Your latest changes are saved",,,
,,,"30","Ready for Successor TC 63241","
",,,
"83849","Test Case","ISS\Topology\Verify Topology asset  schedule will create its applicable VM data on new DB",,,,"Integrity\_Aha-HexagonPPM\Cyber\Integrity\Topology","FIRTH Suzan M (Sue) <suzan.firth@hexagon.com>","Ready"
,,,"1","Prerequisite: Create a new DB
copy these data sets locally and unzip if needed
Recon:
T:\QASTORE01\zzAutomation_Data\QTP_Data\Integrity Data\PAS Recon Data\Integrity DTL VMs NEW\ Recon Windows10Laptop.7z
Network devices
T:\QASTORE01\zzAutomation_Data\QTP_Data\Integrity Data\PAS Network Devices
NetworkImport


 ","
",,,
,,,"2","In Shared steps below follow the Shared Step below to import
Recon
network devices
Cyberintegrity
inventory
topology","
",,,
"61807","Shared Steps",,"3","SHARED STEP: Add Asset Model",,,,
,,,"3.1","Add an Asset Model
Admin Utility>Asset Models
Select the Asset model(s)  required for your test and click the button '>' to add them to the righthand panel
Click Import
The message 'Asset Model(s) Imported successfully' will be displayed at the bottom of the screen when complete which may take several minutes
Reopen Admin Utility >Asset Models and you will see the new asset model version in Imported column
 ","
",,,
,,,"4","Go to Asset Configuration. Add an asset for 
Recon - Click browse to location of dataset and save
network devices - Click browse to location of dataset and save
Cyber
inventory
Follow the instructions in the shared stop below to create schedules for 
Recon
Network devices","Validate there is a topology asset model created automatically",,,
"61823","Shared Steps",,"5","SHARED STEP: Create Asset Model Schedule",,,,
,,,"5.1","Create Asset Model Schedule
Datacollector service is running in Admin Utility> Service Administration
 Prerequisite: 
 The Asset model(s) you are going to use has been imported 
 An Asset(s) created in Asset configuration with Browse folder pointing to local dataset
Any Connection databases have been configured in Connection Definitions if applicable 
Go to Admin Utility>Schedules
Click Add
Enter a schedule name that is copied from the Asset Configuration > Name field entry for this dataowner   
Server name will default to your current integrity server
 Go to Sequences Tab. Select your Asset from the drop down
For all Assets apart from recon: select All or something similar like All Sequences from Definitions and click '>' to move it to sequences panel
For Recon scroll down the Definitions list and select All XML
Click OK
The schedule is added. Right click on the schedule row and Run Now
If Run is disabled; restart Data collector service","There are no errors not previously documented as expected in the main test case
For example: The Recon import will generate expected ""errors"" - refer to the qastore data folder for a readme.txt",,,
,,,"5.2","Go to Admin utility > Asset Explorer Configuration and ensure that you see your asset and you can expand the subfolders to see the data objects
If you dont do this before going to web page automation, then Asset Explorer in the web will show you 'no data owners available'
This is a known and Expected Idiosyncrasy.","
",,,
"73832","Shared Steps",,"6","SHARED STEP: Run Inventory Items for Asset Model testing",,,,
,,,"6.1","Test Inventory items import with the new asset models for all Asset Models
 When all the asset models are complete:
copy \Datacollector\Asset Models\PAS Inventory Items\PASInventory.accdb to \data collector folder
Install the Access DB Engine Office 10 64 bit from the ISS_Setup.exe- Additional Software link
Amin Utility: Asset Models. Import PAS Inventory Items asset model
Admin Utility Asset Configuration. Create an Inventory  Asset
Admin Utility, Schedules. Create a schedule for inventory items and add sequences for all Asset models that you have run that have an inventory sequence and run the schedule 
Use the sequences starting with Create Inventory items without Tree","There are no errors in Inventory Items import log or event viewer",,,
,,,"7","In the Shared Step below, create a cyber tree with 2 parent child sublocations - see attached screenshot","
",,,
"65643","Shared Steps",,"8","SHARED STEP: Create a Cyber Hierarchy with Inventory",,,,
,,,"8.1","Build a Cyber Hierarchy
Prerequisite: Data owners and  PAS Inventory Items schedule has been run 
Open <Install folder>DataCollector\ConfigurationManager as Admin
 In upper drop down select  CyberInventory.
 Create the top-level location in the Cyber Tree: Right click in left Panel > Add Child Node and name it e.g. Plant A or Enterprise. (there may be an error popup when you do this, click OK and ignore it) 
 
From Asset drop down: Select one of your Assets e.g. Recon 
From Object Type select Data owner from drop down and the data owner name will populate in the panel below. Select the name in the Panel and drag onto the top level node. See screenshot
Right click on the left panel and refresh and the Top Node will have a '+'. 
 Expand '+' and you will see a sublevel node for (example) your Recon or Fox data owner - see second screenshot
 
Repeat for other Recon, Network Devices and ICS assets as applicable.
","
",,,
,,,"8.2","If you need inventory data perform the next steps. If you dont need inventory data you can stop here","
",,,
,,,"8.3","If you have ICS or DCS Assets:
 With your ICS e.g. Fox data owner selected in Asset: From Object Type select Inventoryitem
 When selecting ICS assets you will see multiple Inventory items, you want the one with *****DATAOWNER**** in the name 
 Select the ***DATAOWNER*** item and drag it onto the ICS node e.g. the Fox node. See screenshot
","
",,,
,,,"8.4","If you have Recon Assets:
 With your Recon data owner selected in Asset: From Object Type select Inventory_Asset and drag the data owner name (there is only one) from the panel and drop it onto the recon node. See screenshot ","
",,,
,,,"8.5","If you have Network Devices Assets
 With your Network Devices data owner selected in Asset: From Object Type select Inventory_folder and drag NetworkDevices_All  from the panel and drop it onto the Network Devices node. ","
",,,
,,,"8.6"," You dont need to save, it does that automatically
 Post condition:
 Ready for Admin Utility Schedule for Cyber 
","
",,,
,,,"9","Return to Admin Utility - Schedules. Add a schedule for Cyber and run it","
",,,
,,,"10","Go to Asset Explorer Configuration","The assets are created with sub folders for recon and network devices",,,
"68960","Shared Steps",,"11","SHARED STEP: Configure Virtual Directory with Fully Qualified Domain Name",,,,
,,,"11.1","Configure Virtual Directory for a secure url
 Admin Utility: Go to Virtual Directory
Note! if you are doing this on a new Prep database, set Port = 80 FIRST or Admin utility will crash!
Site Name select Default Website
Application name: Enter or select Integrity
Enter the servers Fully Qualified Domain Name (FQDN) in the field Host Name
This will be in the format <VM name>.ingrnet.com e.g.:
iahcvppasisqa19.ingrnet.com 
 Check the box Use Secure connection
Save
","The web URL field is populated with the https prefix 
The url displays the FQDN followed by /integrity
example:
 https://iahcvppasisqa19.ingrnet.com/integrity/
 There are no errors when you save",,,
,,,"11.2","Only If your test case requires Dashboard do the following
 Go to Maintenance page and enter/edit Dashboard url with FQDM
e.g 
https://IAHcVPPASISQA19.ingrnet.com/dashboard or
http:// IAHcVPPASISQA20/dashboardClick save
In Dashboard Config > Go to Step 5 enter the Integrity FQDN
e.g.
https://IAHcVPPASISQA19.ingrnet.com/integrity or
 http:// IAHcVPPASISQA20/integrity 
Click Next 
Clear Compiler and restart dashboard","
",,,
,,,"12","iisreset","
",,,
,,,"13","Go to web page cyber > Inventory>Browse","Verify data is in inventory for Recon and network devices",,,
,,,"14","In shared step below follow the steps to import VM and Patch Mgt  asset model and run the schedule","
",,,
"53467","Shared Steps",,"15","SHARED STEP: Download and update the latest Vulnerability and/or Patch Management Asset model ",,,,
,,,"15.1","Download the latest Vulnerability and/or Patch Management  Asset model from sftp.pas.com
Login with credentials username: PASVulnerabilityMgt, pw Pas!Vul3!21PAS
Select Web option and go to the folder for Vulnerability and/or Patch Management
See screenshot.
Select  the .iam you want (VM Asset model should be a max of 24 hrs old, PM Asset Model should be a max of 1 month old) and Download
Copy Vulnerability.iam/ to 
<Integrity Install>\Integrity\DataCollector\Asset Models\PAS Vulnerability Management and 
Patch Management.iam to <Integrity install>\Integrity\DataCollector\Asset Models\PAS Patch Management
 Reopen Admin utility> Asset Models. You will see the updated model version(s) in the left column.
 
  Import the asset models into the database
Import VM and patch management asset models via Task scheduler -these asset models are far too large to run via Admin utility asset model import. See attached doc for how to do this
NOTE! This usually takes 2-6 hours depending on database size- or longer and may well fail the first time you run it. 
Reopen Admin utility > Asset Models

"," Validate no errors in event log
 You will see the latest date of the asset model in the Imported column in Admin Utility>Asset Models 
",,,
,,,"15.2","To double check all the data got imported (which isnt guaranteed even if it all looks good so far)
 Go to PAS\Integrity\Data Collector and open Asset Model Builder as Admin
Go to Tools menu and to check VM data click NVD matching and for PM data click Patch Evaluation.
 ","There is data in both popups, see attachments..it wont be exactly like this but there should be plenty of data
An empty window is Bad and it didnt work",,,
,,,"15.3","ONLY  For a database that does NOT  contain 4.1 asset model or higher
After importing the VM Asset model the FIRST time
In Admin Utility >Asset Configuration: Ensure there is a VM asset. if not Add an Asset called VM for Asset Model PAS Vulnerability Management.
  In Admin Utility>Schedules create  Schedule for Vulnerability Management - Sequence VM Rectify PropertyNames. 
 Run it. This will take only a minute or so.
Rerun the VM asset model import to add the data into the clean VM database tables
Continue with the steps below ","
",,,
,,,"15.4","NOTE!! For database upgrades or any TC that requires both Patch Mgt and VM asset model updates , ensure you run the Patch Management schedule BEFORE the VM asset model. The Vmatching uses patch management data and can significantly increase the number of Vmatches","
",,,
,,,"15.5","For Patch Management if required for your test case
 In Admin Utility >Asset Configuration: Ensure there is a Patch Management asset. if not Add an Asset called Patch Management for Asset Model PAS Patch Managment
 In the Configuration field Recon Data owners(s)) add ALL the recon dataowners in the database comma delimited like this:
Recon1,Recon2,...etc See screenshot example
Save  
 In Admin Utility>Schedules either create or rerun Schedule for Patch Management - Sequence All ","Validate no errors in Schedule import log or event log",,,
,,,"15.6","To run  Vulnerability matching if required for your test case
In Admin Utility >Asset Configuration: Ensure there is a VM asset. if not Add an Asset called VM for Asset Model PAS Vulnerability Management.
  In Admin Utility>Schedules either create or rerun Schedule for Vulnerability Management - Sequence VM Import NVD Data 
This can also take many hours depending on database size
","Validate no errors in Schedules Import log or event log",,,
,,,"16","Go to Admin Utility>Schedules
Add a schedule for Topology and run it","There are no errors in log for import",,,
"48963","Shared Steps",,"17","SHARED STEP: EventViewerCheck",,,,
,,,"17.1","Open Event Viewer 
 In left panel navigate to Application and Service Logs ->IntegrityMOC
If Event Viewer is already open, then right click IntegrityMOC and refresh","Validate there are no warnings or errors during any of the imports
Validate that any Information rows that occurred during the import dont have any sql or user unexpected messages.
Any potentially problematic messages should be reported in a screenshot attached to the task and QA or a Dev notified (usually Jered or Chezhian)",,,
,,,"17.2","If Applicable to Dashboard testing:
Select PAS-NOCDash","Validate there are no warnings or errors during any of the calculations
Any potentially problematic messages should be reported in a screenshot attached to the task and A Henry notified",,,
,,,"18","iisreset
Go to Vulnerability Management > Browse to check the data has imported OK
Get a screenshot which shows the counts for each CVE severity

","
",,,
,,,"19","go to Topology.
Expand the locations to show the recon and network devices devices in both locations","The device nodes that are seen in VM Browse  have a background color representing their max severity for vmatched CVEs",,,
,,,"20","Right click on a Recon node in each sublocation and open Details","The Details Summary has VM counts and coloration for CVE counts for each severity
The background color of the nodes represent the maximum severity with counts
NOTE!! Do not expect the Vmatch counts in topo to match VM browse - refer comment in Summary",,,
,,,"21","In Details popup go to Vulnerabilities tab and sort criticality","The max severity matches the Summary tab",,,
,,,"22","Right click on a Network node in each sublocation and open Details","The Details Summary has VM counts and coloration for CVE counts for each severity
The background color of the nodes represent the maximum severity with counts",,,
,,,"23","In Details popup go to Vulnerabilities tab and sort criticality","The Details Summary has VM counts and coloration for CVE counts for each severity
The background color of the nodes represent the maximum severity with counts",,,
